taxon_id,scientific_name,common_name_original,common_name_model,taxonomy_class,generic_label,grounding_dino_prompt,qwen_label,yolo_open_vocab_label,aliases
55960,Sceloporus graciosus,Common Sagebrush Lizard,common sagebrush lizard,Reptilia,reptile,common sagebrush lizard. reptile.,common sagebrush lizard,common sagebrush lizard,common sagebrush lizard|reptile
33135,Crotaphytus collaris,Eastern Collared Lizard,eastern collared lizard,Reptilia,reptile,eastern collared lizard. reptile.,eastern collared lizard,eastern collared lizard,eastern collared lizard|reptile
35347,Amblyrhynchus cristatus,Marine Iguana,marine iguana,Reptilia,reptile,marine iguana. reptile.,marine iguana,marine iguana,marine iguana|reptile
73887,Pantherophis guttatus,Red Cornsnake,red cornsnake,Reptilia,reptile,red cornsnake. reptile.,red cornsnake,red cornsnake,red cornsnake|reptile
40092,Stigmochelys pardalis,Leopard Tortoise,leopard tortoise,Reptilia,reptile,leopard tortoise. reptile.,leopard tortoise,leopard tortoise,leopard tortoise|reptile
33121,Basiliscus basiliscus,Common Basilisk,common basilisk,Reptilia,reptile,common basilisk. reptile.,common basilisk,common basilisk,common basilisk|reptile
341972,Crocodylus niloticus,Nile Crocodile,nile crocodile,Reptilia,reptile,nile crocodile. reptile.,nile crocodile,nile crocodile,nile crocodile|reptile
40021,Chersina angulata,Angulate Tortoise,angulate tortoise,Reptilia,reptile,angulate tortoise. reptile.,angulate tortoise,angulate tortoise,angulate tortoise|reptile
81526,Crotalus viridis,Prairie Rattlesnake,prairie rattlesnake,Reptilia,reptile,prairie rattlesnake. reptile.,prairie rattlesnake,prairie rattlesnake,prairie rattlesnake|reptile
34580,Gonatodes albogularis,Yellow-headed Gecko,yellow headed gecko,Reptilia,reptile,yellow headed gecko. reptile.,yellow headed gecko,yellow headed gecko,yellow headed gecko|reptile
71212,Testudo hermanni,Hermann's Tortoise,hermann s tortoise,Reptilia,reptile,hermann s tortoise. reptile.,hermann s tortoise,hermann s tortoise,hermann s tortoise|reptile
39826,Pseudemys rubriventris,Northern Red-bellied Cooter,northern red bellied cooter,Reptilia,reptile,northern red bellied cooter. reptile.,northern red bellied cooter,northern red bellied cooter,northern red bellied cooter|reptile
